user_id,name,preferred_mood
U001,User 1,Relaxed
U002,User 2,Focus Mode
U003,User 3,Energetic
U004,User 4,Sad
U005,User 5,Happy
U006,User 6,Rainy Mood
U007,User 7,Relaxed
U008,User 8,Energetic
U009,User 9,Happy
U010,User 10,Rainy Mood
U011,User 11,Romantic
U012,User 12,Relaxed
U013,User 13,Relaxed
U014,User 14,Happy
U015,User 15,Romantic
U016,User 16,Rainy Mood
U017,User 17,Relaxed
U018,User 18,Sad
U019,User 19,Relaxed
U020,User 20,Energetic
U021,User 21,Happy
U022,User 22,Focus Mode
U023,User 23,Energetic
U024,User 24,Energetic
U025,User 25,Romantic
U026,User 26,Happy
U027,User 27,Rainy Mood
U028,User 28,Rainy Mood
U029,User 29,Focus Mode
U030,User 30,Energetic
U031,User 31,Sad
U032,User 32,Happy
U033,User 33,Focus Mode
U034,User 34,Energetic
U035,User 35,Romantic
U036,User 36,Sad
U037,User 37,Energetic
U038,User 38,Focus Mode
U039,User 39,Happy
U040,User 40,Rainy Mood
U041,User 41,Sad
U042,User 42,Rainy Mood
U043,User 43,Romantic
U044,User 44,Energetic
U045,User 45,Rainy Mood
U046,User 46,Sad
U047,User 47,Relaxed
U048,User 48,Relaxed
U049,User 49,Rainy Mood
U050,User 50,Sad
